section;start_sec;end_sec;instruments;mood;energy;function;confidence_manual
Intro;0.000;14.421067;Piano, Voice;intimate, heartfelt;low;intro;0.9
Verse_1;14.421067;41.930653;Piano, Voice;intimate, reflective;low;verse;0.8
Pre_Chorus_1;41.930653;56.987075;Piano, Voice;emotional, reflective;low_medium;pre_chorus;0.8
Chorus_1;56.987075;92.613545;Piano, Warm Strings, Lush Synth Pads, Subtle Bass, Voice;heartfelt, emotionally intense;medium_high;chorus;0.8
Verse_2;92.613545;120.395946;Electronic Percussion, Piano, Warm Strings, Lush Synth Pads, Subtle Bass, Voice;reflective;medium;verse;0.8
Pre_Chorus_2;120.395946;135.352964;Electronic Percussion, Piano, Warm Strings, Lush Synth Pads, Subtle Bass, Voice;longing,emotional;medium;pre_chorus;0.8
Chorus_2;135.352964;164.115841;Electronic Percussion, Piano, Warm Strings, Lush Synth Pads, Subtle Bass, Voice;passionate, emotionally intense;high;chorus;0.8
Bridge;164.115841;180.545310;Electronic Percussion, Piano, Warm Strings, Lush Synth Pads, Subtle Bass, Voice;introspective, reflective;medium_high;bridge;0.7
Final_Chorus;180.545310;212.897940;Piano, Voice;cathartic, reflective;low;final_chorus;0.8
Outro;212.897940;233.599979;Piano, Voice;intimate;low;outro;0.8
